TccvID,Timestamp,Circuit Name,Milk Tank 1
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:06:41.097Z,2,128.6
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:06:41.097Z,1,128.6
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:07:41.129Z,2,127.8
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:07:41.129Z,1,127.8
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:08:41.178Z,1,125.1
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:08:41.178Z,2,125.1
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:09:41.189Z,2,121
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:09:41.189Z,1,121
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:10:41.265Z,2,117.9
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:10:41.265Z,1,117.9
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:11:41.294Z,1,115.1
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:11:41.294Z,2,115.1
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:12:41.323Z,1,85
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:12:41.323Z,2,85
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:13:41.374Z,2,65.5
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:13:41.374Z,1,65.5
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:14:41.411Z,1,62.8
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:14:41.411Z,2,62.8
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:15:41.455Z,1,62.3
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:15:41.455Z,2,62.3
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:16:41.490Z,2,62
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:16:41.490Z,1,62
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:17:41.542Z,1,61.8
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:17:41.542Z,2,61.8
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:18:41.577Z,1,61.7
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:18:41.577Z,2,61.7
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:19:41.576Z,1,61.7
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:19:41.576Z,2,61.7
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:20:41.679Z,1,61.8
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:20:41.679Z,2,61.8
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:21:41.665Z,1,61.8
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:21:41.665Z,2,61.8
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:22:41.692Z,2,62.5
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:22:41.692Z,1,62.5
